Id,SalePrice
1461,101942.24563575911
1462,154759.98893314967
1463,177511.0567470478
1464,187479.56518091913
1465,199151.3512224706
1466,180130.6263575815
1467,162704.4319233013
1468,172850.87002710724
1469,205618.83748799015
1470,108903.6600735061
1471,176172.99642044646
1472,97318.50901266346
1473,94670.03141843698
1474,144087.01914154834
1475,116803.59526127069
1476,375657.61557225435
1477,266181.02869256993
1478,339514.33666678466
1479,329039.7081140123
1480,511648.6160229687
1481,317278.07435677224
1482,233534.6856461624
1483,196470.33935706568
1484,170294.1242814768
1485,191343.0697827334
1486,213001.48422117112
1487,336685.93216141214
1488,262271.7901247736
1489,193013.06368360977
1490,213892.2562286156
1491,199545.646582973
1492,98434.87304731959
1493,189584.0784059827
1494,300470.77508221543
1495,291039.127953665
1496,216677.88846445887
1497,187358.91776611467
1498,161344.598799551
1499,157521.8548423752
1500,150804.76627236832
1501,174689.35157405687
1502,149015.1482018835
1503,276305.0078349147
1504,231665.60008847795
1505,217511.83567391091
1506,186635.14904297315
1507,234277.7323370418
1508,195867.0035314221
1509,159631.336955762
1510,138584.99801968178
1511,140348.9007097792
1512,158440.74410654057
1513,148052.6197730681
1514,160424.47290344676
1515,200038.94605997374
1516,155893.92923982782
1517,162580.268109839
1518,148125.211269587
1519,209278.05791820295
1520,122675.57003921244
1521,128505.77133979276
1522,177388.53472955883
1523,114615.43597392902
1524,109600.695472008
1525,113755.16489526822
1526,117675.92151609567
1527,108940.01665907954
1528,138364.59016889153
1529,129257.2469739113
1530,171912.17216147706
1531,120279.17773009487
1532,91071.067912705
1533,128708.38788983609
1534,121834.48243030538
1535,153289.48993802955
1536,109653.38791199237
1537,84267.46265724272
1538,159861.11257714158
1539,169208.18785765808
1540,113706.57382633418
1541,137269.36879624167
1542,127977.92116299385
1543,204460.9916400249
1544,82575.18895784619
1545,104133.85986612581
1546,121563.59558970103
1547,128735.14927427538
1548,116073.59113719265
1549,104239.57910824342
1550,119912.21690434273
1551,112920.9486125675
1552,126230.980067968
1553,140336.31964236233
1554,112618.53055449294
